id,remote_id,created_at,modified_at,name,is_supplier,is_customer,email_address,tax_number,status,currency,company,addresses,phone_numbers,remote_was_deleted
ece2e36d-b879-477a-9369-8308ed7aea79,CONT-3A21D576,2026-03-03T17:36:55.697773Z,2026-03-03T17:36:55.697773Z,Amazon Web Services,True,False,billing@aws.amazon.com,,ACTIVE,USD,,"[{""type"": ""BILLING"", ""street_1"": ""250 Broadway"", ""street_2"": null, ""city"": ""San Francisco"", ""state"": ""CA"", ""country"": ""US"", ""zip_code"": ""94105"", ""created_at"": ""2026-03-03T17:36:55.697773Z"", ""modified_at"": ""2026-03-03T17:36:55.697773Z""}]","[{""number"": ""+1-959-381-5012"", ""type"": ""PRIMARY"", ""created_at"": ""2026-03-03T17:36:55.697773Z"", ""modified_at"": ""2026-03-03T17:36:55.697773Z""}]",False
087164a0-8b4c-422d-9d3d-cf61218ac4b2,CONT-7282DD67,2026-03-03T17:36:55.697773Z,2026-03-03T17:36:55.697773Z,Google Cloud Platform,True,False,billing@cloud.google.com,,ACTIVE,USD,,"[{""type"": ""BILLING"", ""street_1"": ""1200 Innovation Way"", ""street_2"": null, ""city"": ""Austin"", ""state"": ""TX"", ""country"": ""US"", ""zip_code"": ""78701"", ""created_at"": ""2026-03-03T17:36:55.697773Z"", ""modified_at"": ""2026-03-03T17:36:55.697773Z""}]","[{""number"": ""+1-954-204-9935"", ""type"": ""PRIMARY"", ""created_at"": ""2026-03-03T17:36:55.697773Z"", ""modified_at"": ""2026-03-03T17:36:55.697773Z""}]",False
b35e0079-e233-422e-a543-c0c2f9837d3b,CONT-AE8DB190,2026-03-03T17:36:55.697773Z,2026-03-03T17:36:55.697773Z,WeWork,True,False,accounts@wework.com,,ACTIVE,USD,,"[{""type"": ""BILLING"", ""street_1"": ""250 Broadway"", ""street_2"": null, ""city"": ""Chicago"", ""state"": ""IL"", ""country"": ""US"", ""zip_code"": ""60601"", ""created_at"": ""2026-03-03T17:36:55.697773Z"", ""modified_at"": ""2026-03-03T17:36:55.697773Z""}]","[{""number"": ""+1-232-130-2535"", ""type"": ""PRIMARY"", ""created_at"": ""2026-03-03T17:36:55.697773Z"", ""modified_at"": ""2026-03-03T17:36:55.697773Z""}]",False
c0d4d401-f604-4efe-80d6-5f7aa42aea18,CONT-AB03FF2E,2026-03-03T17:36:55.697773Z,2026-03-03T17:36:55.697773Z,Gusto Payroll,True,False,billing@gusto.com,,ACTIVE,USD,,"[{""type"": ""BILLING"", ""street_1"": ""1200 Innovation Way"", ""street_2"": null, ""city"": ""Seattle"", ""state"": ""WA"", ""country"": ""US"", ""zip_code"": ""98101"", ""created_at"": ""2026-03-03T17:36:55.697773Z"", ""modified_at"": ""2026-03-03T17:36:55.697773Z""}]","[{""number"": ""+1-717-716-1434"", ""type"": ""PRIMARY"", ""created_at"": ""2026-03-03T17:36:55.697773Z"", ""modified_at"": ""2026-03-03T17:36:55.697773Z""}]",False
ddbf8d06-d924-424b-9232-97a49b63099b,CONT-3577FBB1,2026-03-03T17:36:55.697773Z,2026-03-03T17:36:55.697773Z,HubSpot Inc,True,False,billing@hubspot.com,,ACTIVE,USD,,"[{""type"": ""BILLING"", ""street_1"": ""15 Harbor View"", ""street_2"": null, ""city"": ""Seattle"", ""state"": ""WA"", ""country"": ""US"", ""zip_code"": ""98101"", ""created_at"": ""2026-03-03T17:36:55.697773Z"", ""modified_at"": ""2026-03-03T17:36:55.697773Z""}]","[{""number"": ""+1-933-765-9928"", ""type"": ""PRIMARY"", ""created_at"": ""2026-03-03T17:36:55.697773Z"", ""modified_at"": ""2026-03-03T17:36:55.697773Z""}]",False
ddc79b2e-54e5-4a8b-9dab-0a01fc361958,CONT-1F9C1D9D,2026-03-03T17:36:55.697773Z,2026-03-03T17:36:55.697773Z,Slack Technologies,True,False,billing@slack.com,,ACTIVE,USD,,"[{""type"": ""BILLING"", ""street_1"": ""88 Silicon Ct"", ""street_2"": null, ""city"": ""Seattle"", ""state"": ""WA"", ""country"": ""US"", ""zip_code"": ""98101"", ""created_at"": ""2026-03-03T17:36:55.697773Z"", ""modified_at"": ""2026-03-03T17:36:55.697773Z""}]","[{""number"": ""+1-659-703-5557"", ""type"": ""PRIMARY"", ""created_at"": ""2026-03-03T17:36:55.697773Z"", ""modified_at"": ""2026-03-03T17:36:55.697773Z""}]",False
2944782b-603c-4d36-bf4e-2ed3ec83daaa,CONT-1BEB369C,2026-03-03T17:36:55.697773Z,2026-03-03T17:36:55.697773Z,GitHub Inc,True,False,billing@github.com,,ACTIVE,USD,,"[{""type"": ""BILLING"", ""street_1"": ""100 Market St"", ""street_2"": null, ""city"": ""Austin"", ""state"": ""TX"", ""country"": ""US"", ""zip_code"": ""78701"", ""created_at"": ""2026-03-03T17:36:55.697773Z"", ""modified_at"": ""2026-03-03T17:36:55.697773Z""}]","[{""number"": ""+1-914-532-6574"", ""type"": ""PRIMARY"", ""created_at"": ""2026-03-03T17:36:55.697773Z"", ""modified_at"": ""2026-03-03T17:36:55.697773Z""}]",False
a744cb20-0de3-4cb5-af51-fcb33618bc5a,CONT-612DE7F7,2026-03-03T17:36:55.697773Z,2026-03-03T17:36:55.697773Z,Adobe Systems,True,False,billing@adobe.com,,ACTIVE,USD,,"[{""type"": ""BILLING"", ""street_1"": ""75 Startup Blvd"", ""street_2"": null, ""city"": ""Austin"", ""state"": ""TX"", ""country"": ""US"", ""zip_code"": ""78701"", ""created_at"": ""2026-03-03T17:36:55.697773Z"", ""modified_at"": ""2026-03-03T17:36:55.697773Z""}]","[{""number"": ""+1-420-881-6514"", ""type"": ""PRIMARY"", ""created_at"": ""2026-03-03T17:36:55.697773Z"", ""modified_at"": ""2026-03-03T17:36:55.697773Z""}]",False
0465b6a0-b9d2-4f31-a5f3-d4d56fb3791d,CONT-3C23A2FE,2026-03-03T17:36:55.697773Z,2026-03-03T17:36:55.697773Z,Figma Inc,True,False,billing@figma.com,,ACTIVE,USD,,"[{""type"": ""BILLING"", ""street_1"": ""250 Broadway"", ""street_2"": null, ""city"": ""New York"", ""state"": ""NY"", ""country"": ""US"", ""zip_code"": ""10013"", ""created_at"": ""2026-03-03T17:36:55.697773Z"", ""modified_at"": ""2026-03-03T17:36:55.697773Z""}]","[{""number"": ""+1-589-199-6881"", ""type"": ""PRIMARY"", ""created_at"": ""2026-03-03T17:36:55.697773Z"", ""modified_at"": ""2026-03-03T17:36:55.697773Z""}]",False
ed95c9da-804d-436f-9ef5-d4a3dd2b971f,CONT-BA32D382,2026-03-03T17:36:55.697773Z,2026-03-03T17:36:55.697773Z,Mitchell & Associates LLP,True,False,ar@mitchelllaw.com,,ACTIVE,USD,,"[{""type"": ""BILLING"", ""street_1"": ""300 Enterprise Ave"", ""street_2"": null, ""city"": ""Denver"", ""state"": ""CO"", ""country"": ""US"", ""zip_code"": ""80202"", ""created_at"": ""2026-03-03T17:36:55.697773Z"", ""modified_at"": ""2026-03-03T17:36:55.697773Z""}]","[{""number"": ""+1-244-847-8527"", ""type"": ""PRIMARY"", ""created_at"": ""2026-03-03T17:36:55.697773Z"", ""modified_at"": ""2026-03-03T17:36:55.697773Z""}]",False
f08ec80a-eaf6-427b-8ff9-c5f9016127f0,CONT-48E92E0F,2026-03-03T17:36:55.697773Z,2026-03-03T17:36:55.697773Z,Sentinel Insurance Co,True,False,billing@sentinelins.com,,ACTIVE,USD,,"[{""type"": ""BILLING"", ""street_1"": ""15 Harbor View"", ""street_2"": null, ""city"": ""New York"", ""state"": ""NY"", ""country"": ""US"", ""zip_code"": ""10013"", ""created_at"": ""2026-03-03T17:36:55.697773Z"", ""modified_at"": ""2026-03-03T17:36:55.697773Z""}]","[{""number"": ""+1-587-180-5803"", ""type"": ""PRIMARY"", ""created_at"": ""2026-03-03T17:36:55.697773Z"", ""modified_at"": ""2026-03-03T17:36:55.697773Z""}]",False
